Season,Week,PID,Player,Pos,Team,Opp,FFPts,FFPtsPPR,Pass Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Fum,XP,FG,Grade
2015,7,catanc1,Chandler Catanzaro,K,ARI,BAL,8.2,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.7,A-Game
2015,7,gostks1,Stephen Gostkowski,K,NE,NYJ,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.6,A-Game
2015,7,vinata1,Adam Vinatieri,K,IND,NO,7.9,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,A-Game
2015,7,hauscs1,Steven Hauschka,K,SEA,@SF,7.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,A-Game
2015,7,lamboj1,Josh Lambo,K,SD,OAK,7.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.7,B-Game
2015,7,bryanm1,Matt Bryant,K,ATL,@TEN,7.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,B-Game
2015,7,carped2,Dan Carpenter,K,BUF,@JAX,7.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.7,B-Game
2015,7,tuckej1,Justin Tucker,K,BAL,@ARI,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.8,B-Game
2015,7,zuerlg1,Greg Zuerlein,K,STL,CLE,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.7,B-Game
2015,7,brownj1,Josh Brown,K,NYG,DAL,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.6,B-Game
2015,7,walshb1,Blair Walsh,K,MIN,@DET,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.6,B-Game
2015,7,ganog1,Graham Gano,K,CAR,PHI,7.3,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.6,B-Game
2015,7,bailed1,Dan Bailey,K,DAL,@NYG,7.3,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.7,B-Game
2015,7,boswec1,Chris Boswell,K,PIT,@KC,7.3,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.6,B-Game
2015,7,franka1,Andrew Franks,K,MIA,HOU,7.3,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.6,B-Game
2015,7,hopkid2,Dustin Hopkins,K,WAS,TB,7.3,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.6,B-Game
2015,7,forbak1,Kai Forbath,K,NO,@IND,7.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.5,B-Game
2015,7,folkn1,Nick Folk,K,NYJ,@NE,6.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.6,B-Game
2015,7,coonst1,Travis Coons,K,CLE,@STL,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.7,B-Game
2015,7,sturgc1,Caleb Sturgis,K,PHI,@CAR,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.5,B-Game
2015,7,janiks1,Sebastian Janikowski,K,OAK,@SD,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.5,B-Game
2015,7,santoc1,Cairo Santos,K,KC,PIT,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.5,B-Game
2015,7,novakn1,Nick Novak,K,HOU,@MIA,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.6,B-Game
2015,7,succor1,Ryan Succop,K,TEN,ATL,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.4,B-Game
2015,7,pratem1,Matt Prater,K,DET,MIN,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.5,B-Game
2015,7,barthc1,Connor Barth,K,TB,@WAS,6.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,B-Game
2015,7,dawsop1,Phil Dawson,K,SF,SEA,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.6,B-Game
2015,7,myersj1,Jason Myers,K,JAX,BUF,6.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.5,B-Game
2015,7,lucka1,Andrew Luck,QB,IND,NO,21.8,21.8,24.4,38.2,292.7,2.1,0.9,6.5,29.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,7,newtoc1,Cam Newton,QB,CAR,PHI,20.4,20.4,20.3,33.9,233.9,1.6,0.9,8.3,42.3,0.4,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,7,palmec1,Carson Palmer,QB,ARI,BAL,19.1,19.1,23.4,36.0,305.7,2.1,0.8,0.6,1.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,7,bradyt1,Tom Brady,QB,NE,NYJ,18.9,18.9,24.1,38.9,300.0,2.2,0.9,1.0,2.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,7,wilsor1,Russell Wilson,QB,SEA,@SF,18.9,18.9,22.3,32.6,237.5,1.5,0.8,5.7,38.6,0.2,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,7,riverp1,Philip Rivers,QB,SD,OAK,18.3,18.3,27.6,40.8,301.7,2.1,1.0,1.0,3.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,7,breesd1,Drew Brees,QB,NO,@IND,17.4,17.4,27.1,40.5,303.3,1.9,1.1,0.3,0.9,0.0,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,7,ryanm1,Matt Ryan,QB,ATL,@TEN,17.1,17.1,22.4,34.8,272.4,1.8,0.9,1.8,8.3,0.1,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
